ID,Due,Broadcast,Planholders
 RFQL-F22-095-0-2022/LV, 06/16/2022, 03/23/2022, 16
 IFB-PW22-06-0-2022/LV, 04/27/2022, 04/01/2022, 20
 IFB-F22-089-0-2022/MAP, 04/13/2022, 03/28/2022, 13
 IFB-PW22-07-0-2022/LV, 04/13/2022, 03/25/2022, 16
 RFP-F22-064-0-2022/LV, 04/05/2022, 03/02/2022, 10
 RFP-NOVA-22-01-0-2022/lj, 04/04/2022, 03/01/2022, 3
 RFP-NOVA-22-02-0-2022/lj, 04/04/2022, 03/01/2022, 5
 IFB-PW21-41-0-2022/DB, 03/16/2022, 02/11/2022, 43
 RFQ-I22-001-0-2022/IC, 03/09/2022, 02/14/2022, 14
 RFQL-F22-060-0-2022/DB, 03/04/2022, 01/28/2022, 44
 RFP-F22-038-0-2022/DB, 02/25/2022, 01/12/2022, 15
 RFP-F22-080-0-2022/DB, 02/23/2022, 01/14/2022, 50
 IFB-F22-082-0-2022/DB, 02/16/2022, 01/21/2022, 14
 RFP-F22-042-0-2022/DB, 02/04/2022, 01/14/2022, 10
 RFP-F22-056-0-2022/LV, 01/26/2022, 12/07/2021, 28
 IFB-F22-015-0-2022/IC, 01/21/2022, 12/22/2021, 16
 RFP-F22-049-0-2022/DB, 01/19/2022, 12/22/2021, 17
 RFQL-F22-048-0-2022/LV, 01/07/2022, 11/18/2021, 43
 IFB-PW22-11-0-2022/DB, 12/15/2021, 11/29/2021, 17
 RFP-F22-047-0-2022/LV, 12/14/2021, 10/28/2021, 58
 IFB-PW22-08-0-2022/LV, 12/08/2021, 11/05/2021, 42
 RFP-F22-037-0-2022/LV, 12/02/2021, 11/05/2021, 11
 RFQL-NOVA22-01-0-2022/lj, 12/01/2021, 11/16/2021, 6
 IFB-F21-166-0-2022/DB, 11/17/2021, 10/15/2021, 16
 RFP-F22-024-0-2022/DB, 11/03/2021, 09/29/2021, 21
 RFP-F21-107-0-2022/DB, 10/27/2021, 09/30/2021, 19
 RFP-F22-017-0-2022/LV, 10/07/2021, 09/15/2021, 26
 RFP-I22-002-0-2022/LV, 10/06/2021, 09/16/2021, 32
 IFB-F21-084-0-2022/LV, 10/06/2021, 09/15/2021, 23
 RFP-F21-165-0-2022/DB, 09/22/2021, 09/01/2021, 29
 RFP-F22-026-0-2022/LV, 09/15/2021, 08/25/2021, 35
 RFP-F21-180-0-2022/LV, 08/31/2021, 08/03/2021, 21
 RFP-F21-167-0-2022/LV, 07/29/2021, 07/08/2021, 62
 RFI-F21-150-0-2021/DB, 07/14/2021, 06/23/2021, 5
 RFQL-F20-048-0-2021/DB, 07/07/2021, 06/08/2021, 55
 RFP-F21-145-0-2021/DB, 06/25/2021, 06/04/2021, 28
 RFP-Nova21-01-0-2021/lj, 05/03/2021, 04/19/2021, 7
 RFP-F21-109-0-2021/LV, 04/28/2021, 03/29/2021, 31
 RFP-F19-211-0-2021/GC, 12/18/2020, 11/04/2020, 60
 RFP-F21-002-0-2021/LV, 12/03/2020, 09/25/2020, 31
 IFB-F20-189-1-2020/IC, 07/27/2020, 07/21/2020, 22
 RFQL-Nova-042619-1-2019/jl, 05/10/2019, 04/28/2019, 1
 RFQL-F19-097-0-2019/JLe, 03/07/2019, 02/06/2019, 17
 RFQL-NOVA 12-13-17-0-2018/jl, 01/03/2018, 12/12/2017, 3
 RFP-NOVA-09052017-0-2017/jl, 09/19/2017, 09/05/2017, 3
 RFQ-NOVA 061217-0-2017/jl, 06/23/2017, 06/11/2017, 1
 RFQL-RFQL-NOVA-053117-0-2017/lj, 06/14/2017, 05/30/2017, 9
 RFQL-RFQ-NOVA-042417-0-2017/jl, 05/04/2017, 04/24/2017, 2
 IFB-F21-074-0-2022/IC, 10/13/2021, 09/21/2021, 3
 IFB-PW22-09-0-2022/DB, 12/01/2021, 10/29/2021, 44
 RFQ-F21-169-0-2021/LV, 08/19/2021, 07/21/2021, 14
 IFB-F21-078-0-2022/IC, 08/11/2021, 07/12/2021, 23
 IFB-PW21-28-0-2022/DB, 08/04/2021, 07/09/2021, 36
 IFB-PW21-13-0-2022/DB, 08/04/2021, 07/09/2021, 21
 RFP-F21-153-0-2021/DB, 07/30/2021, 06/16/2021, 70
 IFB-PW21-07-0-2021/LV, 07/14/2021, 06/25/2021, 20
 IFB-PW21-39-0-2021/DB, 07/14/2021, 06/25/2021, 23
 IFB-F21-154-0-2021/IC, 06/30/2021, 06/02/2021, 10
 IFB-PW21-35-0-2021/LV, 06/30/2021, 05/20/2021, 90
 IFB-PW21-21-0-2021/DB, 06/16/2021, 05/28/2021, 25
 RFP-F21-147-0-2021/LV, 06/15/2021, 05/25/2021, 33
 IFB-PW21-29-0-2021/LV, 06/09/2021, 05/20/2021, 19
 RFP-F21-112-0-2021/DB, 05/26/2021, 04/20/2021, 30
 RFP-F21-132-0-2021/LV, 05/20/2021, 04/29/2021, 20
 IFB-PW21-11-0-2021/LV, 05/19/2021, 04/30/2021, 10
 RFP-F21-110-0-2021/DB, 05/10/2021, 04/19/2021, 62
 IFB-PW21-33-0-2021/DB, 04/14/2021, 03/26/2021, 25
 IFB-PW21-03-0-2021/LV, 03/10/2021, 02/12/2021, 35
 IFB-PW21-09-0-2021/LV, 03/10/2021, 02/12/2021, 23
 IFB-PW21-31-0-2021/IC, 03/10/2021, 02/12/2021, 38
 RFP-F21-070-0-2021/LV, 03/08/2021, 02/05/2021, 59
 IFB-PW21-08-0-2021/LV, 02/24/2021, 02/05/2021, 18
 RFP-F21-103-0-2021/LV, 02/23/2021, 01/26/2021, 87
 RFP-F21-100-0-2021/LV, 02/22/2021, 01/29/2021, 48
 RFP-F21-046-0-2021/GC, 12/29/2020, 11/11/2020, 28
 RFP-F21-024-0-2021/LV, 12/01/2020, 10/29/2020, 34
 RFQL-F21-048-0-2021/LV, 11/17/2020, 10/20/2020, 11
 IFB-PW21-05-0-2021/LV, 11/12/2020, 10/23/2020, 33
 IFB-PW21-06-0-2021/LV, 11/12/2020, 10/16/2020, 35
 RFP-F21-023-0-2021/GC, 11/05/2020, 10/08/2020, 24
 IFB-PW21-01-0-2021/LV, 10/28/2020, 10/02/2020, 36
 IFB-F21-004-0-2021/MAP, 10/21/2020, 09/16/2020, 10
 IFB-PW20-16-0-2021/LV, 09/30/2020, 08/12/2020, 173
 RFI-F20-189-0-2020/IC, 07/09/2020, 06/23/2020, 31
 RFP-F20-156-0-2020/LV, 06/10/2020, 05/07/2020, 22
 RFP-F20-155-0-2020/LV, 06/04/2020, 05/06/2020, 25
 IFB-PW20-02-0-2020/LV, 06/03/2020, 04/22/2020, 65
 RFP-F20-144-0-2020/LV, 05/07/2020, 04/09/2020, 16
 IFB-F20-134-0-2020/IC, 05/06/2020, 04/14/2020, 10
 RFP-IRFP I20-009-0-2020/JLe, 04/10/2020, 03/06/2020, 7
 RFP-F20-038-0-2020/LV, 04/07/2020, 02/28/2020, 19
 RFQL-F19-227-0-2020/JLe, 03/12/2020, 02/20/2020, 9
 IFB-PW20-12-0-2020/LV, 03/11/2020, 02/14/2020, 30
 IFB-PW20-14-0-2020/LV, 03/11/2020, 01/31/2020, 17
 IFB-F20-101-0-2020/MAP, 03/04/2020, 02/11/2020, 8
 IFB-F19-223-0-2020/IC, 02/05/2020, 01/08/2020, 18
 IFB-PW20-13-0-2020/LV, 01/29/2020, 01/02/2020, 19
 RFP-F19-235-0-2020/JLe, 01/10/2020, 12/05/2019, 22
 RFP-F20-066-0-2020/JLe, 12/13/2019, 11/15/2019, 11
 IFB-PW20-07-0-2020/JLe, 12/11/2019, 11/21/2019, 20
